DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,Legs,DURATION,LANDINGS DAY,LANDINGS NIGHT,INSTRUMENT,SIMULATED INSTRUMENT,APPROACHES & TYPE,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,SECOND IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,Fuel (gal)
1997-02-06,PA28-151,N40857,BED ASH OWD BED,1,1.9,,4,,,,1.9,,,,1.9,,,,,,
1997-02-07,PA28-151,N40857,BED WST BED,1,1.8,2,,,,,,,1.8,,1.8,,,,,,
1997-02-09,PA28-151,N40857,BED 6B6 BTV 6B6 LWM BED,1,4.4,3,2,,,,0.6,,4.4,,4.4,,,,,,
1997-02-10,PA28-151,N40857,BED PSM 6B1 CON BED,1,2.6,,2,,2.3,6,2.6,,2.6,,2.6,,,,,,
1997-02-13,PA28-151,N40857,BED WST BED,1,1.9,2,,,,,,,1.9,,1.9,,,,,,
1997-02-13,PA28-151,N40857,BED SFZ BED,1,1.5,,2,,,,1.5,,,,1.5,,,,,,
1997-02-15,PA28-151,N40857,BED PVC BED,1,1.7,2,,,,,,,1.7,,1.7,,,,,,
1997-02-16,PA28-151,N40857,BED BED,1,0.6,1,,,,,,,,,0.6,,,,,,
1997-02-17,PA28-151,N40857,BED AQW BED,1,2.2,2,,,,,,,2.2,,2.2,,,,,,
1997-02-18,PA28-151,N40857,BED ORH BED,1,1.3,,2,,,,1.3,,,,1.3,,,,,,
1997-02-20,PA28-151,N40857,BED CON MHT ORH BED,1,2.6,,2,,2,4,1.9,,,,2.6,,,,,,
1997-02-22,PA28-151,N40857,BED BED,1,0.5,1,,,,,,,,,0.5,,,,,,
1997-02-23,PA28-151,N40857,BED SCH BED,1,2.9,2,,,,,,,2.9,,2.9,,,,,,
1997-02-25,PA28-151,N40857,BED BED,1,3.7,,1,,,,3.7,,,,3.7,,,,,,
1997-02-28,PA28-151,N40857,BED EEN BED,1,1.4,,2,,,,1.4,,1.4,,1.4,,,,,,
1997-03-01,PA28-151,N40857,BED LWM BED,1,1.4,1,,0.2,,2,,,,,1.4,,,,,,
1997-03-02,PA28-151,N40857,BED OWD WST,1,1.3,,2,,,,1.3,,1.3,,1.3,,,,,,
1997-03-07,PA28-151,N40857,WST BED,1,1.1,1,,,,,,,1.1,,1.1,,,,,,
1997-03-08,PA28-151,N40857,BED BED,1,0.9,1,,0.7,,2,,,,,0.9,,,,,,
1997-03-09,PA28-151,N40857,BED B09 6B6 MA07 PYM 3B2 PVC CQX BED,1,3.5,9,,,,,,,3.5,,3.5,,,,,,
1997-03-13,PA28-151,N40857,BED BED,1,1.1,1,,,,,,,,,1.1,,,,,,
1997-03-13,PA28-151,N40857,BED WST PVC BED,1,2.7,,3,,,,2.7,,2.7,,2.7,,,,,,
1997-03-16,PA28-151,N40857,BED 6B6 FIT BED,1,1.1,3,,,,,,,,,1.1,,,,,,
1997-03-19,PA28-151,N40857,BED ILG,1,3.1,,1,0.6,,,2.1,,3.1,,3.1,,,,,,
1997-03-20,PA28-151,N40857,ILG PTB,1,2,1,,0.1,,,,,2,,2,,,,,,
1997-03-20,PA28-151,N40857,PTB CUB,1,2.6,1,,,,,,,2.6,,2.6,,,,,,
1997-03-23,PA28-151,N40857,CUB FFA MQI,1,2.6,2,,,,,,,2.6,,2.6,,,,,,
1997-03-23,PA28-151,N40857,MQI HPN,1,3.5,,1,,,,0.5,,3.5,,3.5,,,,,,
1997-03-23,PA28-151,N40857,HPN BED,1,1.4,,1,,,,1.4,,1.4,,1.4,,,,,,
1997-03-27,PA28-151,N40857,BED 6B6 BED,1,1.7,5,,,,,,,,,1.7,,,,,,
1997-03-28,PA28-151,N40857,BED ACK PVC BED,1,2.6,3,,,,,,,2.6,,2.6,,,,,,
1997-03-29,PA28-151,N40857,BED LWM BED,1,1.5,1,,1.2,,4,,,,,1.5,,,,,,
1997-04-04,PA28-151,N40857,BED WST OWD BED,1,2.6,,3,,1.2,3,1.6,,2.6,,2.6,,,,,,
1997-04-05,PA28-151,N40857,BED MTP WST BED,1,2.5,3,,,,,,,2.5,,2.5,,,,,,
1997-04-09,PA28-151,N40857,BED FIT BED,1,1.2,4,,,,,,,,,1.2,,,,,,
1997-04-10,PA28-151,N40857,BED 3B3 GDM EEN BED,1,1.7,4,,,,,,,1.7,,1.7,,,,,,
1997-04-12,PA28-151,N40857,BED WST,1,1.2,1,,0.5,,1,,,1.2,,1.2,,,,,,
1997-04-17,PA28-151,N40857,BED AVP,1,2.6,1,,0.5,,1,,,2.6,,2.6,,,,,,
1997-04-17,PA28-151,N40857,AVP LBE,1,2.2,1,,0.3,,1,,,2.2,,2.2,,,,,,
1997-04-17,PA28-151,N40857,LBE ISZ,1,2.9,1,,1.5,,,,,2.9,,2.9,,,,,,
1997-04-20,PA28-151,N40857,ISZ LBE,1,2.3,1,,0.1,,,,,2.3,,2.3,,,,,,
1997-04-21,PA28-151,N40857,LBE AVP,1,1.9,1,,0.8,,,,,1.9,,1.9,,,,,,
1997-04-21,PA28-151,N40857,AVP BED,1,2.1,1,,0.1,,,,,2.1,,2.1,,,,,,
1997-04-22,PA28-151,N40857,BED MA08 3B0 PMX 8B5 BED,1,1.6,5,,,,,,,1.6,,1.6,,,,,,
1997-04-23,PA28-151,N40857,BED 7B2 GBR BED,1,2.4,3,,,,,,,2.4,,2.4,,,,,,
1997-04-25,PA28-151,N40857,BED TEB,1,2,1,,0.1,,,,,2,,2,,,,,,
1997-04-25,PA28-151,N40857,TEB BED,1,1.8,1,,,,,,,1.8,,1.8,,,,,,
1997-04-27,PA28-151,N40857,BED TEB BED,1,3.5,2,,,,,,,3.5,,3.5,,,,,,
1997-04-29,PA28-151,N40857,BED OWD WST BED,1,2,3,,,,,,,2,,2,,,,,,
1997-04-30,PA28-151,N40857,BED 8B8 LCI BED,1,2.3,2,1,,,,0.2,,2.3,,2.3,,,,,,
1997-05-04,PA28-151,N40857,BED UUU 5B6 PVC BED,1,2.6,4,1,,,,1,,2.6,,2.6,,,,,,
1997-05-05,PA28-151,N40857,BED FIT EEN BED,1,1.6,5,,,,,,,1.6,,1.6,,,,,,
1997-05-05,PA28-151,N40857,BED OXC BED,1,3.9,,2,,,,1.5,,3.9,,3.9,,,,,,
1997-05-08,PA28-151,N40857,BED 6B6 BED,1,0.7,4,,,,,,,,,0.7,,,,,,
1997-05-08,PA28-151,N40857,BED 6B6 BED,1,0.6,,4,,,,0.6,,,,0.6,,,,,,
1997-05-09,PA28-151,N40857,BED CON BED,1,1.9,1,2,1.5,,4,0.4,,,,1.9,,,,,,
1997-05-13,PA28-151,N40857,BED FIT 6B6 BED,1,1,5,,,,,,,,,1,,,,,,
1997-05-14,PA28-151,N40857,BED 6B6 BED,1,0.6,2,,,,,,,,,0.6,,,,,,
1997-05-15,PA28-151,N40857,BED 6B6 BED,1,0.4,,2,,,,0.4,,,,0.4,,,,,,
1997-05-18,PA28-151,N40857,BED EVY,1,3.1,1,,,,,,,3.1,,3.1,,,,,$2.00,
1997-05-18,PA28-151,N40857,EVY 2N9,1,2.9,1,,,,,,,2.9,,2.9,,,,,$1.60,
1997-05-18,PA28-151,N40857,2N9 CUB,1,2.1,1,,,,,,,2.1,,2.1,,,,,,
1997-05-20,PA28-151,N40857,CUB 27J CUB,1,1.3,2,,,,,,,,,1.3,,,,,$1.60,
1997-05-21,PA28-151,N40857,CUB ACJ,1,2.2,1,,,,,,,2.2,,2.2,,,,,,
1997-05-21,PA28-151,N40857,ACJ DTS,1,1.7,1,,0.1,,,,,1.7,,1.7,,,,,,
1997-05-25,PA28-151,N40857,DTS DTS,1,1.1,1,,,,,,,,,1.1,,,,,,
1997-05-28,PA28-151,N40857,DTS MCN,1,2.2,1,,0.1,,,,,2.2,,2.2,,,,,,
1997-05-28,PA28-151,N40857,MCN CUB,1,1.8,1,,,,,,,1.8,,1.8,,,,,,
1997-05-29,PA28-151,N40857,CUB CAE 27J FDW CUB,1,1.7,4,,,,,,,,,1.7,,,,,,
1997-05-31,PA28-151,N40857,CUB 2N9,1,1.9,1,,,,,,,1.9,,1.9,,,,,,
1997-05-31,PA28-151,N40857,2N9 EVY,1,2.3,1,,,,,,,2.3,,2.3,,,,,,
1997-05-31,PA28-151,N40857,EVY BED,1,2.7,1,,0.1,,,,,2.7,,2.7,,,,,,
1997-06-01,PA28-151,N40857,BED PVC BED,1,2.1,2,,1.5,,2,,,2.1,,2.1,,,,,,
1997-06-02,PA28-151,N40857,BED LCI BED,1,2.1,1,1,,,,0.2,,2.1,,2.1,,,,,,
1997-06-04,PA28-151,N40857,BED PVC PYM BED,1,2.3,5,,,,,,,2.3,,2.3,,,,,,
1997-06-06,PA28-151,N40857,BED BID RI04 BED,1,2.1,3,,,,,,,2.1,,2.1,,,,,,
1997-06-07,PA28-151,N40857,BED BDL BED,1,1.9,2,,,,,,,1.9,,1.9,,,,,,
1997-06-08,PA28-151,N40857,BED BDL 4B6 BED,1,3.8,3,,,,,,,3.8,,3.8,,,,,,
1997-06-09,PA28-151,N40857,BED 8B2 HIE NH08 BED,1,3.2,3,1,,,,0.5,,3.2,,3.2,,,,,,
1997-06-10,PA28-151,N40857,BED 6B6 BED,1,0.7,6,,,,,,,,,0.7,,,,,,
1997-06-12,PA28-151,N40857,BED PVC 3B2 BED,1,1.9,3,,,,,,,1.9,,1.9,,,,,,
1997-06-13,PA28-151,N40857,BED BED,1,0.6,5,,,,,,,,,0.6,,,,,,
1997-06-15,PA28-151,N40857,BED 6B6,1,0.7,4,,,,,,,,,0.7,,,,,,
1997-06-16,PA28-151,N40857,6B6 MHT 6B6,1,1,2,,,,,,,,,1,,,,,,
1997-06-17,PA28-151,N40857,6B6 BED,1,0.3,1,,,,,,,,,0.3,,,,,,
1997-06-17,PA28-151,N40857,BED BVY 2B2 6B6,1,1.4,6,,,,,,,,,1.4,,,,,,
1997-06-19,PA28-151,N40857,6B6 BED 6B6 FIT 6B6,1,1.1,4,1,,,,0.1,,,,1.1,,,,,,
1997-06-20,PA28-151,N40857,BED WST,1,0.8,1,,,,,,,0.8,,0.8,,,,,,
1997-06-20,PA28-151,N40857,WST 8B8 6B6,1,2.2,2,,,,,,,2.2,,2.2,,,,,,
1997-06-21,PA28-151,N40857,6B6 1B2 6B6,1,2.1,2,,,,,,,2.1,,2.1,,,,,,
